"jurisdicción";"año_2020";"año_2021";"año_2022";"año_2023"
"Buenos Aires";"63";"39";"60";"37"
"CABA";"";"";"";"1"
"Catamarca";"164";"242";"188";"288"
"Chaco";"203";"122";"110";"6"
"Chubut";"46";"40";"39";"87"
"Córdoba";"96";"71";"144";"140"
"Corrientes";"58";"14";"106";"89"
"Entre Ríos";"30";"58";"143";"62"
"Formosa";"9";"34";"18";"17"
"Jujuy";"221";"342";"378";"319"
"La Pampa";"48";"18";"66";"70"
"La Rioja";"126";"179";"68";"11"
"Mendoza";"89";"93";"153";"76"
"Misiones";"71";"45";"47";"12"
"Neuquén";"59";"42";"12";"26"
"Río Negro";"80";"98";"54";"280"
"Salta";"100";"232";"222";"130"
"San Juan";"1";"0";"58";"22"
"San Luis";"29";"180";"309";"64"
"Santa Cruz";"7";"9";"4";"11"
"Santa Fe";"81";"51";"75";"26"
"Santiago del Estero";"36";"6";"14";"34"
"Tierra del Fuego";"2";"10";"6";"12"
"Tucumán";"118";"413";"376";"392"
